header	CDS length	ramp length	non-ramp min mean	ramp min mean	ramp strength	num ramp region status changing mutations	num non-ramp region status changing mutations	num reasonably valid ramp mutations	num reasonably valid non-ramp mutations	ramp robustness
>lcl|NC_001145.3_cds_NP_013736.1_4260 [gene=MSS1] [locus_tag=YMR023C] [db_xref=SGD:S000004625,GeneID:855037] [protein=Mss1p] [protein_id=NP_013736.1] [location=complement(319437..321017)] [gbkey=CDS]	1581	-1	-1.4582988229273153	-1.3660805183308091	-0.09221830459650615	3	6	210	72	-0.9680851063829787
>lcl|NC_001146.8_cds_NP_014433.1_4927 [gene=ARC35] [locus_tag=YNR035C] [db_xref=SGD:S000005318,GeneID:855771] [protein=Arc35p] [protein_id=NP_014433.1] [location=complement(693019..694047)] [gbkey=CDS]	1029	-1	-1.685787179437879	-1.588857514241109	-0.09692966519676993	3	24	164	24	-0.8563829787234043
>lcl|NC_001136.10_cds_NP_010176.1_812 [gene=MSS2] [locus_tag=YDL107W] [db_xref=SGD:S000002265,GeneID:851451] [protein=Mss2p] [protein_id=NP_010176.1] [location=268921..269976] [gbkey=CDS]	1056	-1	-1.362265591983318	-0.9308060660507705	-0.43145952593254744	0	0	186	0	-1.0
>lcl|NC_001147.6_cds_NP_014557.1_5055 [gene=PHM7] [locus_tag=YOL084W] [db_xref=SGD:S000005444,GeneID:854070] [protein=Phm7p] [protein_id=NP_014557.1] [location=162356..165331] [gbkey=CDS]	2976	-1	-1.586128329795876	-1.3509960847865048	-0.23513224500937113	0	0	393	0	-1.0
>lcl|NC_001136.10_cds_NP_010494.1_1115 [gene=MSS4] [locus_tag=YDR208W] [db_xref=SGD:S000002616,GeneID:851789] [protein=1-phosphatidylinositol-4-phosphate 5-kinase] [protein_id=NP_010494.1] [location=868224..870563] [gbkey=CDS]	2340	-1	-1.597744420506314	-1.1415504646354657	-0.4561939558708483	0	0	257	0	-1.0
>lcl|NC_001136.10_cds_NP_058151.1_1227 [locus_tag=YDR316W-A] [db_xref=SGD:S000007398,GeneID:851913] [protein=gag protein] [protein_id=NP_058151.1] [location=1096064..1097386] [gbkey=CDS]	1323	-1	-1.985166937198569	-1.3209671365239395	-0.6641998006746295	0	0	194	0	-1.0
>lcl|NC_001148.4_cds_NP_015122.1_5597 [gene=AFT2] [locus_tag=YPL202C] [db_xref=SGD:S000006123,GeneID:855899] [protein=Aft2p] [protein_id=NP_015122.1] [location=complement(168088..169338)] [gbkey=CDS]	1251	-1	-1.620101365613248	-1.4691099840387096	-0.15099138157453829	0	0	175	0	-1.0
>lcl|NC_001139.9_cds_NP_011503.1_2097 [gene=ERG4] [locus_tag=YGL012W] [db_xref=SGD:S000002980,GeneID:852872] [protein=delta(24(24(1)))-sterol reductase] [protein_id=NP_011503.1] [location=472855..474276] [gbkey=CDS]	1422	-1	-1.7724319473257477	-1.3842766691382171	-0.3881552781875306	1	0	218	0	-0.9954128440366973
>lcl|NC_001145.3_cds_NP_013728.1_4252 [gene=ERG5] [locus_tag=YMR015C] [db_xref=SGD:S000004617,GeneID:855029] [protein=C-22 sterol desaturase] [protein_id=NP_013728.1] [location=complement(300869..302485)] [gbkey=CDS]	1617	147	-1.547038718621064	-1.597731001047114	0.05069228242605006	18	20	50	2649	0.9859207113745831
>lcl|NC_001145.3_cds_NP_013706.1_4228 [gene=ERG6] [locus_tag=YML008C] [db_xref=SGD:S000004467,GeneID:855003] [protein=sterol 24-C-methyltransferase] [protein_id=NP_013706.1] [location=complement(251839..252990)] [gbkey=CDS]	1152	-1	-1.5982359111899245	-1.2077631203984553	-0.3904727907914691	1	0	181	0	-0.994475138121547
>lcl|NC_001140.6_cds_NP_011939.2_2531 [gene=ERG7] [locus_tag=YHR072W] [db_xref=SGD:S000001114,GeneID:856470] [protein=lanosterol synthase ERG7] [protein_id=NP_011939.2] [location=239098..241293] [gbkey=CDS]	2196	-1	-1.5954381712339214	-1.5908700445175243	-0.0045681267163970585	18	33	313	42	-0.856338028169014
>lcl|NC_001139.9_cds_NP_011691.1_2289 [gene=ERG1] [locus_tag=YGR175C] [db_xref=SGD:S000003407,GeneID:853086] [protein=squalene monooxygenase] [protein_id=NP_011691.1] [location=complement(846933..848423)] [gbkey=CDS]	1491	-1	-1.6971646165357193	-1.5326206358434449	-0.16454398069227438	2	0	238	0	-0.9915966386554622
>lcl|NC_001145.3_cds_NP_013929.1_4444 [gene=ERG2] [locus_tag=YMR202W] [db_xref=SGD:S000004815,GeneID:855242] [protein=C-8 sterol isomerase ERG2] [protein_id=NP_013929.1] [location=667537..668205] [gbkey=CDS]	669	-1	-1.766732234454733	-1.6525102100311662	-0.11422202442356677	5	0	146	0	-0.9657534246575342
>lcl|NC_001144.5_cds_NP_013157.1_3701 [gene=ERG3] [locus_tag=YLR056W] [db_xref=SGD:S000004046,GeneID:850745] [protein=C-5 sterol desaturase] [protein_id=NP_013157.1] [location=253861..254958] [gbkey=CDS]	1098	-1	-1.9569760206267561	-0.662947799214519	-1.2940282214122372	0	0	182	0	-1.0
>lcl|NC_001136.10_cds_NP_010270.1_895 [gene=NOP1] [locus_tag=YDL014W] [db_xref=SGD:S000002172,GeneID:851548] [protein=rRNA methyltransferase NOP1] [protein_id=NP_010270.1] [location=427364..428347] [gbkey=CDS]	984	-1	-1.445884387093584	-1.0144812203955715	-0.4314031666980125	24	0	162	0	-0.8518518518518519
>lcl|NC_001144.5_cds_NP_013259.1_3808 [gene=ASP3-3] [locus_tag=YLR158C] [db_xref=SGD:S000004148,GeneID:850855] [protein=asparaginase ASP3-3] [protein_id=NP_013259.1] [location=complement(482549..483637)] [gbkey=CDS]	1089	78	-1.8865622587863744	-1.9924096738539436	0.10584741506756923	9	1	66	1554	0.9938271604938271
>lcl|NC_001144.5_cds_NP_013256.1_3799 [gene=ASP3-1] [locus_tag=YLR155C] [db_xref=SGD:S000004145,GeneID:850850] [protein=asparaginase ASP3-1] [protein_id=NP_013256.1] [location=complement(469317..470405)] [gbkey=CDS]	1089	78	-1.8865622587863744	-1.9924096738539436	0.10584741506756923	9	1	66	1554	0.9938271604938271
>lcl|NC_001145.3_cds_NP_013947.1_4462 [gene=ERG8] [locus_tag=YMR220W] [db_xref=SGD:S000004833,GeneID:855260] [protein=phosphomevalonate kinase] [protein_id=NP_013947.1] [location=712316..713671] [gbkey=CDS]	1356	-1	-1.6733318079035764	-1.0153242623440828	-0.6580075455594936	0	0	164	0	-1.0
>lcl|NC_001140.6_cds_NP_012060.1_2654 [gene=ERG9] [locus_tag=YHR190W] [db_xref=SGD:S000001233,GeneID:856597] [protein=bifunctional farnesyl-diphosphate farnesyltransferase/squalene synthase] [protein_id=NP_012060.1] [location=484845..486179] [gbkey=CDS]	1335	-1	-1.841890869633071	-1.1446035366455474	-0.6972873329875235	0	0	214	0	-1.0
>lcl|NC_001139.9_cds_NP_011617.1_2213 [gene=NOP7] [locus_tag=YGR103W] [db_xref=SGD:S000003335,GeneID:852995] [protein=mRNA-binding ribosome synthesis protein NOP7] [protein_id=NP_011617.1] [location=695417..697234] [gbkey=CDS]	1818	-1	-1.3302715582596103	-1.2170555627045367	-0.11321599555507356	0	0	308	0	-1.0
>lcl|NC_001136.10_cds_NP_010068.1_711 [gene=NOP6] [locus_tag=YDL213C] [db_xref=SGD:S000002372,GeneID:851313] [protein=Nop6p] [protein_id=NP_010068.1] [location=complement(77289..77966)] [gbkey=CDS]	678	-1	-1.6739271394171646	-1.4183311827486247	-0.25559595666853996	2	0	123	0	-0.983739837398374
>lcl|NC_001146.8_cds_NP_014366.3_4863 [gene=SIW14] [locus_tag=YNL032W] [db_xref=SGD:S000004977,GeneID:855699] [protein=putative tyrosine protein phosphatase SIW14] [protein_id=NP_014366.3] [location=574506..575351] [gbkey=CDS]	846	-1	-1.8776641948562653	-1.5084560933236961	-0.3692081015325692	3	0	125	0	-0.976
>lcl|NC_001143.9_cds_NP_012732.1_3298 [gene=HYM1] [locus_tag=YKL189W] [db_xref=SGD:S000001672,GeneID:853646] [protein=Hym1p] [protein_id=NP_012732.1] [location=84704..85903] [gbkey=CDS]	1200	-1	-1.4849430444924527	-0.19849811498960526	-1.2864449295028475	0	0	176	0	-1.0
>lcl|NC_001136.10_cds_NP_010740.3_1358 [gene=PPN1] [locus_tag=YDR452W] [db_xref=SGD:S000002860,GeneID:852063] [protein=endopolyphosphatase] [protein_id=NP_010740.3] [location=1362878..1364902] [gbkey=CDS]	2025	-1	-1.4345645992040847	-1.2599747312081349	-0.1745898679959499	0	0	266	0	-1.0
>lcl|NC_001142.9_cds_NP_012622.3_3192 [gene=BIR1] [locus_tag=YJR089W] [db_xref=SGD:S000003849,GeneID:853551] [protein=Bir1p] [protein_id=NP_012622.3] [location=587718..590582] [gbkey=CDS]	2865	-1	-1.5507554959420318	-1.4240965590423031	-0.12665893689972862	3	0	356	0	-0.9915730337078652
>lcl|NC_001140.6_cds_NP_011945.1_2538 [locus_tag=YHR078W] [db_xref=SGD:S000001120,GeneID:856477] [protein=hypothetical protein] [protein_id=NP_011945.1] [location=256360..258018] [gbkey=CDS]	1659	-1	-1.512401888225272	-1.4921856424532773	-0.020216245771994767	1	15	193	63	-0.9375
>lcl|NC_001142.9_cds_NP_012649.3_3219 [locus_tag=YJR115W] [db_xref=SGD:S000003876,GeneID:853579] [protein=hypothetical protein] [protein_id=NP_012649.3] [location=639942..640451] [gbkey=CDS]	510	-1	-1.6299096377925655	-1.0638516213991283	-0.5660580163934372	0	0	73	0	-1.0
>lcl|NC_001136.10_cds_NP_010591.1_1214 [gene=HNT2] [locus_tag=YDR305C] [db_xref=SGD:S000002713,GeneID:851899] [protein=bis(5'-adenosyl)-triphosphatase] [protein_id=NP_010591.1] [location=complement(join(1072746..1073312,1073402..1073488))] [gbkey=CDS]	654	93	-1.7281475307795844	-1.772751853857661	0.0446043230780766	11	15	47	913	0.9729166666666667
>lcl|NC_001140.6_cds_NP_011990.1_2583 [gene=CIA2] [locus_tag=YHR122W] [db_xref=SGD:S000001164,GeneID:856522] [protein=iron-sulfur cluster assembly protein CIA2] [protein_id=NP_011990.1] [location=353625..354320] [gbkey=CDS]	696	-1	-1.397488590256916	-1.2946789583278067	-0.10280963192910941	0	9	122	58	-0.95
>lcl|NC_001136.10_cds_NP_010553.3_1179 [gene=CIA1] [locus_tag=YDR267C] [db_xref=SGD:S000002675,GeneID:851860] [protein=iron-sulfur cluster assembly protein CIA1] [protein_id=NP_010553.3] [location=complement(1002510..1003502)] [gbkey=CDS]	993	-1	-1.3510025401091654	-1.286322288382352	-0.06468025172681346	8	0	149	0	-0.9463087248322147
>lcl|NC_001136.10_cds_NP_010158.1_795 [gene=HNT1] [locus_tag=YDL125C] [db_xref=SGD:S000002283,GeneID:851432] [protein=adenosine 5'-monophosphoramidase] [protein_id=NP_010158.1] [location=complement(join(239019..239398,239510..239606))] [gbkey=CDS]	477	-1	-1.4559955789516072	-1.3510676069033685	-0.10492797204823878	0	0	84	0	-1.0
>lcl|NC_001147.6_cds_NP_014705.1_5198 [locus_tag=YOR062C] [db_xref=SGD:S000005588,GeneID:854228] [protein=hypothetical protein] [protein_id=NP_014705.1] [location=complement(442725..443531)] [gbkey=CDS]	807	-1	-1.5990472780899987	-1.5144511377871368	-0.08459614030286189	2	0	100	0	-0.98
>lcl|NC_001142.9_cds_NP_012596.3_3168 [gene=NTA1] [locus_tag=YJR062C] [db_xref=SGD:S000003823,GeneID:853525] [protein=amidase] [protein_id=NP_012596.3] [location=complement(553476..554849)] [gbkey=CDS]	1374	-1	-1.5832031237673605	-1.419202738036217	-0.1640003857311434	3	0	180	0	-0.9833333333333333
>lcl|NC_001140.6_cds_NP_011980.1_2573 [locus_tag=YHR112C] [db_xref=SGD:S000001154,GeneID:856512] [protein=putative cystathionine beta-lyase] [protein_id=NP_011980.1] [location=complement(334527..335663)] [gbkey=CDS]	1137	-1	-1.6703911277226506	-0.46080439034843385	-1.2095867373742168	0	0	194	0	-1.0
>lcl|NC_001135.5_cds_NP_009887.1_536 [gene=PDI1] [locus_tag=YCL043C] [db_xref=SGD:S000000548,GeneID:850314] [protein=protein disulfide isomerase PDI1] [protein_id=NP_009887.1] [location=complement(48653..50221)] [gbkey=CDS]	1569	-1	-1.8714877328274337	-1.1189346327060026	-0.7525531001214312	0	0	222	0	-1.0
>lcl|NC_001136.10_cds_NP_010674.3_1301 [gene=MUS81] [locus_tag=YDR386W] [db_xref=SGD:S000002794,GeneID:851994] [protein=Mus81p] [protein_id=NP_010674.3] [location=1246084..1247982] [gbkey=CDS]	1899	-1	-1.6394399288698647	-0.8058489047992868	-0.8335910240705778	0	0	246	0	-1.0
>lcl|NC_001137.3_cds_NP_011047.3_1655 [locus_tag=YER121W] [db_xref=SGD:S000000923,GeneID:856858] [protein=hypothetical protein] [protein_id=NP_011047.3] [location=402375..402719] [gbkey=CDS]	345	-1	-1.5326068866215172	0.5491503988579025	-2.0817572854794197	0	0	88	341	-1.0
>lcl|NC_001142.9_cds_NP_012587.3_3159 [gene=BFA1] [locus_tag=YJR053W] [db_xref=SGD:S000003814,GeneID:853513] [protein=Bfa1p] [protein_id=NP_012587.3] [location=534027..535751] [gbkey=CDS]	1725	-1	-1.5070183969143043	-1.2119908018639938	-0.2950275950503105	2	0	238	0	-0.9915966386554622
>lcl|NC_001134.8_cds_NP_009507.1_157 [gene=PSY4] [locus_tag=YBL046W] [db_xref=SGD:S000000142,GeneID:852234] [protein=Psy4p] [protein_id=NP_009507.1] [location=132424..133749] [gbkey=CDS]	1326	102	-1.5988184622359782	-1.740846555851153	0.14202809361517477	18	3	66	1817	0.9888475836431226
>lcl|NC_001139.9_cds_NP_011422.1_2022 [gene=SPC105] [locus_tag=YGL093W] [db_xref=SGD:S000003061,GeneID:852787] [protein=Spc105p] [protein_id=NP_011422.1] [location=334886..337639] [gbkey=CDS]	2754	-1	-1.448267063730367	-1.200293365624617	-0.24797369810574987	0	0	352	0	-1.0
>lcl|NC_001139.9_cds_NP_011582.1_2180 [gene=ART5] [locus_tag=YGR068C] [db_xref=SGD:S000003300,GeneID:852960] [protein=Art5p] [protein_id=NP_011582.1] [location=complement(625324..627084)] [gbkey=CDS]	1761	-1	-1.513778054021497	-1.4572578619061112	-0.056520192115385726	5	0	218	0	-0.9770642201834863
>lcl|NC_001146.8_cds_NP_014191.2_4694 [locus_tag=YNL208W] [db_xref=SGD:S000005152,GeneID:855513] [protein=hypothetical protein] [protein_id=NP_014191.2] [location=254418..255017] [gbkey=CDS]	600	-1	-1.7255099179036764	-1.3504868522585085	-0.37502306564516785	0	0	130	0	-1.0
>lcl|NC_001135.5_cds_NP_009959.2_607 [gene=SYP1] [locus_tag=YCR030C] [db_xref=SGD:S000000626,GeneID:850396] [protein=Syp1p] [protein_id=NP_009959.2] [location=complement(173826..176438)] [gbkey=CDS]	2613	-1	-1.6031986720156652	-1.124196629335995	-0.47900204267967017	0	0	371	0	-1.0
>lcl|NC_001139.9_cds_NP_011286.1_1896 [gene=SHE10] [locus_tag=YGL228W] [db_xref=SGD:S000003197,GeneID:852623] [protein=She10p] [protein_id=NP_011286.1] [location=67598..69331] [gbkey=CDS]	1734	144	-1.5356823508339827	-1.664636899733068	0.1289545488990853	0	0	0	2597	1.0
>lcl|NC_001136.10_cds_NP_010751.4_1369 [gene=STP1] [locus_tag=YDR463W] [db_xref=SGD:S000002871,GeneID:852074] [protein=Stp1p] [protein_id=NP_010751.4] [location=1386816..1388375] [gbkey=CDS]	1560	-1	-1.7955220741024718	-1.6317697943695144	-0.16375227973295736	4	0	212	0	-0.9811320754716981
>lcl|NC_001147.6_cds_NP_014766.1_5256 [gene=LEO1] [locus_tag=YOR123C] [db_xref=SGD:S000005649,GeneID:854290] [protein=Leo1p] [protein_id=NP_014766.1] [location=complement(553176..554570)] [gbkey=CDS]	1395	-1	-1.5180812582179197	-1.2328799750341815	-0.2852012831837383	1	0	191	0	-0.9947643979057592
>lcl|NC_001144.5_cds_NP_013479.3_4015 [gene=STP3] [locus_tag=YLR375W] [db_xref=SGD:S000004367,GeneID:851089] [protein=Stp3p] [protein_id=NP_013479.3] [location=871697..872728] [gbkey=CDS]	1032	-1	-1.5036353161915836	-1.4136455945294835	-0.08998972166210017	5	0	144	0	-0.9652777777777778
>lcl|NC_001140.6_cds_NP_011870.1_2460 [gene=STP2] [locus_tag=YHR006W] [db_xref=SGD:S000001048,GeneID:856397] [protein=Stp2p] [protein_id=NP_011870.1] [location=117814..119439] [gbkey=CDS]	1626	-1	-1.6977316980187607	-1.4786402787366886	-0.2190914192820721	0	0	194	0	-1.0
>lcl|NC_001136.10_cds_NP_010235.1_866 [gene=STP4] [locus_tag=YDL048C] [db_xref=SGD:S000002206,GeneID:851512] [protein=Stp4p] [protein_id=NP_010235.1] [location=complement(366739..368211)] [gbkey=CDS]	1473	-1	-1.8684790151726927	-0.6976977681585703	-1.1707812470141223	0	0	198	0	-1.0
>lcl|NC_001144.5_cds_NP_013362.1_3906 [gene=VPS63] [locus_tag=YLR261C] [db_xref=SGD:S000004251,GeneID:850965] [protein=Vps63p] [protein_id=NP_013362.1] [location=complement(668237..668563)] [gbkey=CDS]	327	-1	-1.1516583044414423	-0.5915823497214535	-0.5600759547199888	0	0	57	0	-1.0
>lcl|NC_001136.10_cds_NP_010107.1_748 [gene=DLD1] [locus_tag=YDL174C] [db_xref=SGD:S000002333,GeneID:851380] [protein=D-lactate dehydrogenase] [protein_id=NP_010107.1] [location=complement(145826..147589)] [gbkey=CDS]	1764	-1	-1.7783285961583564	-0.5025344018517619	-1.2757941943065945	0	0	236	0	-1.0
>lcl|NC_001136.10_cds_NP_010103.1_744 [gene=DLD2] [locus_tag=YDL178W] [db_xref=SGD:S000002337,GeneID:851376] [protein=D-lactate dehydrogenase] [protein_id=NP_010103.1] [location=139522..141114] [gbkey=CDS]	1593	-1	-1.4829254768961053	-1.4194649819791445	-0.06346049491696082	7	0	232	0	-0.9698275862068966
>lcl|NC_001137.3_cds_NP_010843.1_1451 [gene=DLD3] [locus_tag=YEL071W] [db_xref=SGD:S000000797,GeneID:856638] [protein=D-lactate dehydrogenase] [protein_id=NP_010843.1] [location=16355..17845] [gbkey=CDS]	1491	-1	-1.722033279013423	-0.39003105107359726	-1.3320022279398258	3	0	221	0	-0.9864253393665159
>lcl|NC_001139.9_cds_NP_011588.3_2184 [gene=SMD1] [locus_tag=YGR074W] [db_xref=SGD:S000003306,GeneID:852964] [protein=mRNA splicing protein SMD1] [protein_id=NP_011588.3] [location=635712..636152] [gbkey=CDS]	441	-1	-1.7231584775192488	0.10769905399945144	-1.8308575315187001	0	0	95	0	-1.0
>lcl|NC_001144.5_cds_NP_013377.1_3921 [gene=SMD2] [locus_tag=YLR275W] [db_xref=SGD:S000004265,GeneID:850981] [protein=mRNA splicing protein SMD2] [protein_id=NP_013377.1] [location=join(694378..694382,694473..694800)] [gbkey=CDS]	333	-1	-1.5467371960909495	-0.43397245221285335	-1.112764743878096	4	0	82	0	-0.9512195121951219
>lcl|NC_001144.5_cds_NP_013248.1_3788 [gene=SMD3] [locus_tag=YLR147C] [db_xref=SGD:S000004137,GeneID:850839] [protein=mRNA splicing protein SMD3] [protein_id=NP_013248.1] [location=complement(434158..434463)] [gbkey=CDS]	306	-1	-2.430977811312991	-0.6233834488787149	-1.807594362434276	0	0	62	69	-1.0
>lcl|NC_001148.4_cds_NP_015404.1_5867 [gene=MRL1] [locus_tag=YPR079W] [db_xref=SGD:S000006283,GeneID:856194] [protein=Mrl1p] [protein_id=NP_015404.1] [location=698869..700014] [gbkey=CDS]	1146	123	-1.4249134844103133	-1.4959409283308673	0.07102744392055405	9	15	77	1652	0.9861191440138809
>lcl|NC_001144.5_cds_NP_013120.1_3665 [gene=YEH2] [locus_tag=YLR020C] [db_xref=SGD:S000004010,GeneID:850707] [protein=sterol esterase] [protein_id=NP_013120.1] [location=complement(181789..183405)] [gbkey=CDS]	1617	-1	-1.822533925213249	-1.1437599354725352	-0.6787739897407139	0	0	217	0	-1.0
>lcl|NC_001141.2_cds_NP_012208.1_2804 [gene=VHR1] [locus_tag=YIL056W] [db_xref=SGD:S000001318,GeneID:854755] [protein=Vhr1p] [protein_id=NP_012208.1] [location=249991..251913] [gbkey=CDS]	1923	-1	-1.7825070112147814	-1.2634877735475702	-0.5190192376672111	0	0	267	0	-1.0
>lcl|NC_001137.3_cds_NP_010986.1_1596 [gene=VHR2] [locus_tag=YER064C] [db_xref=SGD:S000000866,GeneID:856793] [protein=Vhr2p] [protein_id=NP_010986.1] [location=complement(282705..284222)] [gbkey=CDS]	1518	-1	-1.6553768727830693	-0.7052129597257755	-0.9501639130572939	0	0	219	0	-1.0
>lcl|NC_001144.5_cds_NP_013089.1_3633 [gene=YEH1] [locus_tag=YLL012W] [db_xref=SGD:S000003935,GeneID:850648] [protein=sterol esterase] [protein_id=NP_013089.1] [location=125534..127255] [gbkey=CDS]	1722	-1	-1.5238110881890503	-1.382959467602881	-0.1408516205861694	6	0	225	0	-0.9733333333333334
>lcl|NC_001137.3_cds_NP_010911.3_1518 [gene=VAB2] [locus_tag=YEL005C] [db_xref=SGD:S000000731,GeneID:856713] [protein=Vab2p] [protein_id=NP_010911.3] [location=complement(145907..146755)] [gbkey=CDS]	849	-1	-1.334522865299739	-0.8566675555925356	-0.47785530970720336	0	0	105	0	-1.0
>lcl|NC_001148.4_cds_NP_015073.1_5550 [gene=ATG41] [locus_tag=YPL250C] [db_xref=SGD:S000006171,GeneID:855825] [protein=Atg41p] [protein_id=NP_015073.1] [location=complement(74309..74719)] [gbkey=CDS]	411	-1	-1.4823281616084807	-1.4760651054422005	-0.006263056166280201	17	14	74	45	-0.7394957983193278
>lcl|NC_001147.6_cds_NP_014795.1_5284 [gene=ATG40] [locus_tag=YOR152C] [db_xref=SGD:S000005678,GeneID:854323] [protein=Atg40p] [protein_id=NP_014795.1] [location=complement(617518..618288)] [gbkey=CDS]	771	-1	-1.6227958808371463	-1.3761149753683342	-0.24668090546881216	0	0	110	0	-1.0
>lcl|NC_001144.5_cds_NP_013280.1_3829 [locus_tag=YLR179C] [db_xref=SGD:S000004169,GeneID:850876] [protein=hypothetical protein] [protein_id=NP_013280.1] [location=complement(514108..514713)] [gbkey=CDS]	606	-1	-1.9010502362536985	-1.4772135381603342	-0.42383669809336433	2	3	122	43	-0.9696969696969697
>lcl|NC_001148.4_cds_NP_015078.1_5555 [gene=RBD2] [locus_tag=YPL246C] [db_xref=SGD:S000006167,GeneID:855830] [protein=putative rhomboid protease RBD2] [protein_id=NP_015078.1] [location=complement(84509..85297)] [gbkey=CDS]	789	-1	-1.5204650207712544	-1.5045661327408226	-0.015898888030431824	13	8	121	57	-0.8820224719101124
>lcl|NC_001140.6_cds_NP_012042.1_2635 [gene=SPC97] [locus_tag=YHR172W] [db_xref=SGD:S000001215,GeneID:856577] [protein=Spc97p] [protein_id=NP_012042.1] [location=448335..450806] [gbkey=CDS]	2472	-1	-1.784001338089853	-1.529814590449271	-0.2541867476405819	0	0	313	0	-1.0
>lcl|NC_001141.2_cds_NP_012116.1_2713 [gene=MCM10] [locus_tag=YIL150C] [db_xref=SGD:S000001412,GeneID:854656] [protein=Mcm10p] [protein_id=NP_012116.1] [location=complement(61013..62728)] [gbkey=CDS]	1716	-1	-1.5992734202289338	-1.3438261619875231	-0.2554472582414107	0	0	255	0	-1.0
>lcl|NC_001148.4_cds_NP_015371.1_5838 [gene=MCM16] [locus_tag=YPR046W] [db_xref=SGD:S000006250,GeneID:856159] [protein=Mcm16p] [protein_id=NP_015371.1] [location=656799..657344] [gbkey=CDS]	546	-1	-1.591266165183253	-1.3014796680522283	-0.28978649713102467	0	0	95	119	-1.0
>lcl|NC_001146.8_cds_NP_014273.1_4772 [gene=SPC98] [locus_tag=YNL126W] [db_xref=SGD:S000005070,GeneID:855597] [protein=Spc98p] [protein_id=NP_014273.1] [location=387227..389767] [gbkey=CDS]	2541	-1	-1.4935721278352505	-1.2353826312499625	-0.258189496585288	0	0	284	0	-1.0
